saga,song,character,lines
The Circe Saga,There Are Other Ways,Both,"There is so much power, so much power

But there's no puppet here, here"
The Circe Saga,Wouldn't You Like,Hermes,"I must say, what a brilliant speech you gave

Just a friend who could help you save your men

A foe like Circe's not to be messed with

You want to beat her?

You'll need the blessing of a certain god

Divine intervention

Someone who's not afraid to send a message

Wouldn't you like a taste of the power?

Wouldn't you like to use more than words?

Deep in the night, the fight lasts for hours

You can be hurt or you can beat her

Wouldn't you like to hav? some of the magic?

Wouldn't you like your outcom? preferred?

Deep in the night, the fight can be tragic

I'll help you conquer her

She can turn you to an animal

That'll end up on her plate

She can all but make you fall in love

Like you're on your hundredth date

She can conjure up a monster

That'll grind you to the bones

She has all the ways to haunt ya

When you take her on alone

Wouldn't you like a taste of the power?

Wouldn't you like to use more than words?

Deep in the night, the fight lasts for hours

You can be hurt or you can beat her

Wouldn't you like to have some of the magic?

Wouldn't you like your outcome preferred?

Deep in the night, the fight can be tragic

I'll help you conquer her

Oh-oh

Here in the root of this flower

There lies such a power to take her on

You must consume and digest it

Then you'll manifest a being of your creation

All you need's imagination

Though it's only for a moment

Till you've beaten your opponent

And I call this root ""holy moly""

Wouldn't you like a taste of the power?

Wouldn't you like to use more than words?

Deep in the night, the fight lasts for hours

You can be hurt or you can beat her

Wouldn't you like to have some of the magic?

Wouldn't you like your outcome preferred?

Deep in the night, the fight can be tragic

I'll help you conquer her

(Oh) Wouldn't you like a taste of the power?

Wouldn't you like to use more than words?

(Oh) Deep in the night, the fight lasts for hours

You can be hurt or you can beat her

(Oh) Wouldn't you like to have some of the magic?

Wouldn't you like your outcome preferred?

(Oh) Deep in the night, the fight can be tragic

I'll help you conquer her

Don't thank me, friend, you very well may die

Mh-hm-hm, good luck"
The Cyclops Saga,Remember Them,Cyclopes,"Who hurts you?

Who hurts you?

Who hurts you?

Who hurts you?

If nobody hurts you, be silent"
The Cyclops Saga,Survive,Soldier,"He’s got a club…

He's got a club!

What are our orders?

Captain? Captain!"
The Ithaca Saga,Hold Them Down,Antinuous,"Screw this competition, we've been here for hours

None of us can string this, we don't?have?the power

Screw this?damn challenge, no more delays

Can't you?guys see we're being played?

This is how they

Hold us down while the throne gets colder

Hold us down while we slowly age

Hold us down while the boy gets bolder

Where the hell is our pride and our rage?

Here and now, there's a chance for action

Here and now, we can take control

Here and now, burn it down to ashes

Channel the fire inside your soul

Hold us down

While the throne gets colder

Hold us down

While we slowly age

Hold us down

While the boy gets bolder

Where the hell is our pride and our rage?

Here and now

There's a chance for action

Here and now

We can take control

Here and now

Burn it down to ashes

Channel the fire inside your soul

Haven't you noticed who's missing?

Don't you know the prince is not around

I heard he's on a diplomatic mission

And I heard today he comes back to town, so

I say we gather near the beaches

I say we wait 'til he arrives

Then, when he docks his ship, we can breach it

Let us leave now, today we can strike and

Hold him down 'til the boy stops shaking

Hold him down while I slit his throat

Hold him down while I slowly break his pride, his trust, his faith, and his bones

Cut him down into tiny pieces

Throw him down in the great below

When the crown wonders where the prince is

Only the ocean and I will know

And when the deed is done

The queen will have no one to

Stop us from breaking her bedroom door

Stop us from taking her love and more

And then we'll

Hold her down while her gate is open

Hold her down while I get a taste

Hold her down while we share her spoils

I will not let any part go to waste

Here and now, there's a chance for action

Here and now, we can take control

Here and now, burn it down to ashes

Channel the fire inside your soul and

Hold 'em down, hold 'em down

Hold 'em down, hold 'em down"
The Ithaca Saga,Odysseus,Amphinomus,"Damn, he's more cunning than I assumed

While we were busy plotting, he hid our weapons inside this room"
The Ithaca Saga,The Challenge,The Suitors,"Time is fleeting, it's running out

Time to be the man of the house (Penelope)

Time is fleeting, it's running out

Time to be the man of the house (Penelope)"
The Ocean Saga,Keep Your Friends Close,Aeolus,"Ha ha ha

I am the wind, twisting and turning

I give the fire enough to stay burning

Let's play a game

That's what I'm serving

And if you win, you will get what you're yearning

Take a look right here at this bag

It has the winds of the storm all trapped

All you gotta do is not open this bag

Ha ha ha

Keep your friends close and your enemi?s closer

Never r?ally know who you can trust

If they wanna get the bag open, you gotta say ""no, sir""

Sometimes killing is a must

'Cause the end always justifies the means

Friends turn into foes and rivalries

So keep your friends close and your enemies closer

Never really know who you can trust (Never really know who you can trust)

Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Now they wanna get the bag open so they can have closure

Sometimes sneaking is a must

Sometimes sneaking is a must

'Cause the end always justifies the means

Everything's changed since Polites, so

Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Storm

Full speed ahead

I said to keep the bag closed, but you weren't compliant

If I had to guess? You're heading to the

Land of the giants"
The Ocean Saga,Keep Your Friends Close,Winions,"Ha ha ha

Keep your friends close and your enemi?s closer

Never r?ally know who you can trust

If they wanna get the bag open, you gotta say ""no, sir""

Sometimes killing is a must

It's treasure!

Buh-bye!

Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Now they wanna get the bag open so they can have closure

Sometimes sneaking is a must

Sometimes sneaking is a must

'Cause the end always justifies the means

Everything's changed since Polites, so

Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Storm

Full speed ahead

Land of the giants"
The Ocean Saga,Keep Your Friends Close,Perimedes,"Captain, what's happening?

What's trapped in that bag?

Open the bag

We'll try"
