saga,song,character,lines
The Circe Saga,Done For,Odysseus,"Lady of the palace, sorry that I ask this

But I hope that I've been misinformed

I sent out some scouts to take a look around through

Here and they wound up at your door

Through the years we seldom

Get a warm welcome, so

I must ask just to be sure

Did you do something to them?

You turned them into pigs

I don't mean to tip your scale but

You will fail at

Placing any spells on me

I just ate a flower

One that claims your power

So you better cower now and flee

Then I must be a god like you

Cause I got this root from the ground with my bare hands

Okay, fine, yes, but regardless

You and I are now evenly matched

Our fates are intertwined, they're attached

I've got people to protect, friends I can't neglect

So now there is no turning back

You've made your one wrong move, now you're done for

I will be the one to prove that you're done for

Not even a spell saves you, cause you're done for

Oh, you better run or soon you will be done for

You've lost

I'm not sure I follow"
The Circe Saga,Puppeteer,Eurylochus,"Captain, I have something that I must confess

Something that I must get off my chest

Until it is said, I cannot rest

Captain?

But captai

Okay

Sir, since we left home we've faced a variety of foes from a wide range of places

Gods, monsters, you know the roster, hostile creatures that we could resist

But this was a h?ll of a twist, cause we are w?ak to a power like this

A woman

She had us in just two words

Only I stayed outside, but the rest went in

By the time they ate, it was far too late

For inside the meal, think of your past

She had cast a spell, and your mistakes

They began to squeal, they'll be the last

And grow snouts and tails, mistakes you'll make

She changed them

They transformed, this is the price

And it wasn't quick, we pay to live

She turned our men, the world does not

From men to pigs, tend to forgive

She changed them

No we don't

Look at all we've lost and all we've learned

Every single cost is so much more than what we've earned

Think about the men we have left before there's none

Let's just cut our losses, you and I, and let's run"
The Circe Saga,Puppeteer,Odysseus,"Eurylochus, go make sure this island is secure

There's only so much left we can endure

Whatever you need to say can wait some more

Of that, I'm sure

What was it?

What?

Damn

We have to go save them

Of course I'd like to leave now, of course I'd like to run

But I can hardly sleep now knowing everything we've done

There's no length I wouldn't go if it was you I had to save

I can only hope you'd do the same"
The Circe Saga,Puppeteer,Circe,"Come inside

Welcome to the best part of your lives

Go ahead and rest wherever you like

I got you, don't worry Circe's got you now

Take a seat

Let me bring you all something to eat

I bet you're tired from the years spent on your feet

I got you, don't worry Circe's got you now

For inside the meal, think of your past

She had cast a spell, and your mistakes

They began to squeal, they'll be the last

And grow snouts and tails, mistakes you'll make

She changed them

I got all the power, yeah, I got all the power

No, I'm not a player, I'm a puppeteer

No, I don't play, I puppeteer, yeah

They transformed, this is the price

And it wasn't quick, we pay to live

She turned our men, the world does not

From men to pigs, tend to forgive

She changed them

I got all the power, yeah, I got all the power

No, I'm not a player, I'm a puppeteer

No, I don't play, I puppeteer, yeah"
The Circe Saga,There Are Other Ways,Circe,"There are other ways of persuasion

There are other modes of control

There are other means of deceit

There are other roads to the soul

There are other actions of passion

You have so much left to learn

Want to save your men from the fire?

Show me that you're willing to burn, woah

Who's to say, with the mistakes I've made, Don't be afraid

That they will be th? last Think of your past

Mistakes I ever mak?? Don't break when

There is so much power, so much power

But there's no puppet here, here

This is the price we pay to love, I'm just a man

There is no line never enough, I'm just a man

So much power, so much power, forgive me

But there's no puppet here"
The Circe Saga,There Are Other Ways,Odysseus,"Who's to say, with the mistakes I've made, Don't be afraid

That they will be th? last Think of your past

Mistakes I ever mak?? Don't break when

There is so much power, so much power

But there's no puppet here, here

This is the price we pay to love, I'm just a man

There is no line never enough, I'm just a man

So much power, so much power, forgive me

But there's no puppet here"
The Circe Saga,Wouldn't You Like,Odysseus,"Who goes there?

Hermes?

Ah

(Oh) Wouldn't you like a taste of the power?

Wouldn't you like to use more than words?

(Oh) Deep in the night, the fight lasts for hours

You can be hurt or you can beat her

(Oh) Wouldn't you like to have some of the magic?

Wouldn't you like your outcome preferred?

(Oh) Deep in the night, the fight can be tragic

I'll help you conquer her

Hermes, thank you"
The Circe Saga,Wouldn't You Like,Ensemble,"Wouldn't you like a taste of the power?

Wouldn't you like to use more than words?

Deep in the night, the fight lasts for hours

You can be hurt or you can beat her

Wouldn't you like to have some of the magic?

Wouldn't you like your outcome preferred?

Deep in the night, the fight can be tragic

I'll help you conquer her

Wouldn't you like a taste of the power?

Wouldn't you like to use more than words?

Deep in the night, the fight lasts for hours

You can be hurt or you can beat her

Wouldn't you like to have some of the magic?

Wouldn't you like your outcome preferred?

Deep in the night, the fight can be tragic

I'll help you conquer her

(Oh) Wouldn't you like a taste of the power?

Wouldn't you like to use more than words?

(Oh) Deep in the night, the fight lasts for hours

You can be hurt or you can beat her

(Oh) Wouldn't you like to have some of the magic?

Wouldn't you like your outcome preferred?

(Oh) Deep in the night, the fight can be tragic

I'll help you conquer her"
The Cyclops Saga,My Goodbye,Ensemble,"Just a man

This day, you sever your own head

This day, you cut the line

This day, you lost it all

Consider this as my goodbye

Ohh

Consider this as my goodbye

Ohh

This is my goodbye

Ohh

Consider this as my goodbye

Ohh

This is my goodbye"
The Cyclops Saga,Polyphemus,Odysseus,"Over here!

It's almost too perfect, too good to be true

Why would the lotus eaters pass up on all this food?

Hey there

We're just travellers

We come in peace

There's been a misunderstanding

We never came here to steal

But now that I see we've done some damage

Maybe you and I can make a deal

I'll give you our finest treasure

So long as we leave alive

You can keep the world's best tasting wine

Have a drink

One sip and you'll understand

The power that's in your hands

A wine so fresh

You'd never wanna eat human flesh again

Then we shall be on our way

No bloodshed in here today

A trade, you see?

A gift from you and a gift from me

My name is Nobody, Nobody, Nobody

I'm so glad we see eye to eye

What?

Watch out!"
The Cyclops Saga,Polyphemus,Polites,"Look at all this food, look at all these sheep

I can't believe this cave has all this for us to keep"
The Cyclops Saga,Polyphemus,Eurylochus,"I've gotta hand it to you both, this is quite the treat

There are enough sheep here to feed the entire fleet"
The Cyclops Saga,Remember Them,Eurylochus,"Captain!

Captain!

Captain!

But captain, what'll we do with our fallen friends?

Captain, where do we attack him?

There are more of them?

Captain, we should run

Captain, please"
The Cyclops Saga,Remember Them,Odysseus,"We must move quickly, we don't have much time

He didn't notice I mixed lotus in his wine

Mark my words now, this is not the end

Remember them

When the fire begins to fade

For the fallen and afraid

We are not to let them die in vain

Remember them

We're the ones who carry on

The flames of those who've gone

And our comrades will not die in vain

I need all our hands on his club

This is how we're getting out of here

Use your swords to sharpen the stub

And turn it to a giant spear

His body is blocking the path

If we kill him we'll be stuck inside

We gotta stab him in the eye

Remember them

We're the ones who carry on

The flames of those who've gone

And our comrades will not die in vain

Now!

Scatter!

Hide

Wait

Wait

Let's grab the sheep and away we go

No

What good would killing do

When mercy is a skill more of this world could learn to use

My friend is dead, our foe is blind

The blood we shed, it never dries

Is this what it means to be a warrior of the mind?

Hey, Cyclops!

When we met, I led with peace

While you fed your inner beast

But my comrades will not die in vain

Remember them

The next time that you dare choose not to spare

Remember them

Remember us

Remember me

I'm the reigning king of Ithaca

I am neither man nor mythical

I am your darkest moment

I am the infamous

Odysseus"
The Cyclops Saga,Remember Them,Soldiers,"Remember them

When the fire begins to fade

For the fallen and afraid

We are not to let them die in vain

Remember them

We're the ones who carry on

The flames of those who've gone

And our comrades will not die in vain

Let's kill him!

Yes sir

Remember them

When the fire begins to fade

For the fallen and afraid

We are not to let them die in vain

Remember them

We're the ones who carry on

The flames of those who've gone

And our comrades will not die in vain"
The Cyclops Saga,Remember Them,Polyphemus,"It was Nobody, Nobody

Don’t go!"
The Cyclops Saga,Remember Them,Athena,"Have you forgotten the lessons I taught you?

He's still a threat until he's dead

Finish it

No?

Don't!"
The Cyclops Saga,Survive,Ensemble,"Po-ly-phe-mus

Po-ly-phe-mus

Po-ly-phe-mus"
