act,song,speaker,line
The Troy Saga,The Horse and the Infant,odysseus,"Alright, my brothers, listen closely"
The Troy Saga,The Horse and the Infant,soldiers,"Alright, my brothers, listen closely"
The Troy Saga,The Horse and the Infant,odysseus,"Tonight, we make the Trojans pay"
The Troy Saga,The Horse and the Infant,soldiers,"Tonight, we make the Trojans pay"
The Troy Saga,The Horse and the Infant,odysseus,"Ten years of war, they killed us slowly"
The Troy Saga,The Horse and the Infant,soldiers,"Ten years of war, they killed us slowly"
The Troy Saga,The Horse and the Infant,odysseus,But now we'll be the ones who slay
The Troy Saga,The Horse and the Infant,soldiers,But now we'll be the ones who slay
The Troy Saga,The Horse and the Infant,odysseus,Think of your wives and your children
The Troy Saga,The Horse and the Infant,soldiers,Think of your wives and your children
The Troy Saga,The Horse and the Infant,odysseus,Your families wonder where you've been
The Troy Saga,The Horse and the Infant,soldiers,Your families wonder where you've been
The Troy Saga,The Horse and the Infant,odysseus,"They're growing old, and yet you're still here"
The Troy Saga,The Horse and the Infant,soldiers,"They're growing old, and yet you're still here"
The Troy Saga,The Horse and the Infant,odysseus,Do what I say and you'll see them again
The Troy Saga,The Horse and the Infant,soldiers,Do what I say and you'll see them again
The Troy Saga,The Horse and the Infant,odysseus,Yes sir!
The Troy Saga,The Horse and the Infant,soldiers,Yes sir!
The Troy Saga,The Horse and the Infant,odysseus,Diomedes will lead the charge
The Troy Saga,The Horse and the Infant,soldiers,Diomedes will lead the charge
The Troy Saga,The Horse and the Infant,odysseus,Agamemnon will flank the guards
The Troy Saga,The Horse and the Infant,soldiers,Agamemnon will flank the guards
The Troy Saga,The Horse and the Infant,odysseus,Menelaus will let our mates through the gates to take the whole city at large
The Troy Saga,The Horse and the Infant,soldiers,Menelaus will let our mates through the gates to take the whole city at large
The Troy Saga,The Horse and the Infant,odysseus,Teucer will shoot any ambush attack
The Troy Saga,The Horse and the Infant,soldiers,Teucer will shoot any ambush attack
The Troy Saga,The Horse and the Infant,odysseus,And Little Ajax will stay back
