act,song,speaker,line
The Troy Saga,The Horse and the Infant,Odysseus,"Alright, my brothers, listen closely"
The Troy Saga,The Horse and the Infant,Soldiers,"Alright, my brothers, listen closely"
The Troy Saga,The Horse and the Infant,Odysseus,"Tonight, we make the Trojans pay"
The Troy Saga,The Horse and the Infant,Soldiers,"Tonight, we make the Trojans pay"
The Troy Saga,The Horse and the Infant,Odysseus,"Ten years of war, they killed us slowly"
The Troy Saga,The Horse and the Infant,Soldiers,"Ten years of war, they killed us slowly"
The Troy Saga,The Horse and the Infant,Odysseus,But now we'll be the ones who slay
The Troy Saga,The Horse and the Infant,Soldiers,But now we'll be the ones who slay
The Troy Saga,The Horse and the Infant,Odysseus,Think of your wives and your children
The Troy Saga,The Horse and the Infant,Soldiers,Think of your wives and your children
The Troy Saga,The Horse and the Infant,Odysseus,Your families wonder where you've been
The Troy Saga,The Horse and the Infant,Soldiers,Your families wonder where you've been
The Troy Saga,The Horse and the Infant,Odysseus,"They're growing old, and yet you're still here"
The Troy Saga,The Horse and the Infant,Soldiers,"They're growing old, and yet you're still here"
The Troy Saga,The Horse and the Infant,Odysseus,Do what I say and you'll see them again
The Troy Saga,The Horse and the Infant,Soldiers,Do what I say and you'll see them again
The Troy Saga,The Horse and the Infant,Odysseus,Yes sir!
The Troy Saga,The Horse and the Infant,Soldiers,Yes sir!
The Troy Saga,The Horse and the Infant,Odysseus,Diomedes will lead the charge
The Troy Saga,The Horse and the Infant,Soldiers,Diomedes will lead the charge
The Troy Saga,The Horse and the Infant,Odysseus,Agamemnon will flank the guards
The Troy Saga,The Horse and the Infant,Soldiers,Agamemnon will flank the guards
The Troy Saga,The Horse and the Infant,Odysseus,Menelaus will let our mates through the gates to take the whole city at large
The Troy Saga,The Horse and the Infant,Soldiers,Menelaus will let our mates through the gates to take the whole city at large
The Troy Saga,The Horse and the Infant,Odysseus,Teucer will shoot any ambush attack
The Troy Saga,The Horse and the Infant,Soldiers,Teucer will shoot any ambush attack
