title,url
The Horse and the Infant,https://www.allmusicals.com/lyrics/epicthemusical/thehorseandtheinfant.htm
Just A Man,https://www.allmusicals.com/lyrics/epicthemusical/justaman.htm
Full Speed Ahead,https://www.allmusicals.com/lyrics/epicthemusical/fullspeedahead.htm
Open Arms,https://www.allmusicals.com/lyrics/epicthemusical/openarms.htm
Warrior of the Mind,https://www.allmusicals.com/lyrics/epicthemusical/warriorofthemind.htm
Polyphemus,https://www.allmusicals.com/lyrics/epicthemusical/polyphemus.htm
Survive,https://www.allmusicals.com/lyrics/epicthemusical/survive.htm
Remember Them,https://www.allmusicals.com/lyrics/epicthemusical/rememberthem.htm
My Goodbye,https://www.allmusicals.com/lyrics/epicthemusical/mygoodbye.htm
Storm,https://www.allmusicals.com/lyrics/epicthemusical/storm.htm
Luck Runs Out,https://www.allmusicals.com/lyrics/epicthemusical/luckrunsout.htm
Keep Your Friends Close,https://www.allmusicals.com/lyrics/epicthemusical/keepyourfriendsclose.htm
Ruthlessness,https://www.allmusicals.com/lyrics/epicthemusical/ruthlessness.htm
Puppeteer,https://www.allmusicals.com/lyrics/epicthemusical/puppeteer.htm
Wouldn't You Like,https://www.allmusicals.com/lyrics/epicthemusical/wouldntyoulike.htm
Done For,https://www.allmusicals.com/lyrics/epicthemusical/donefor.htm
There Are Other Ways,https://www.allmusicals.com/lyrics/epicthemusical/thereareotherways.htm
The Underworld,https://www.allmusicals.com/lyrics/epicthemusical/theunderworld.htm
No Longer You,https://www.allmusicals.com/lyrics/epicthemusical/nolongeryou.htm
Monster,https://www.allmusicals.com/lyrics/epicthemusical/monster.htm
Suffering,https://www.allmusicals.com/lyrics/epicthemusical/suffering.htm
Different Beast,https://www.allmusicals.com/lyrics/epicthemusical/differentbeast.htm
Scylla,https://www.allmusicals.com/lyrics/epicthemusical/scylla.htm
Mutiny,https://www.allmusicals.com/lyrics/epicthemusical/mutiny.htm
Thunder Bringer,https://www.allmusicals.com/lyrics/epicthemusical/thunderbringer.htm
Legendary,https://www.allmusicals.com/lyrics/epicthemusical/legendary.htm
Little Wolf,https://www.allmusicals.com/lyrics/epicthemusical/littlewolf.htm
We'd Be Fine,https://www.allmusicals.com/lyrics/epicthemusical/wedbefine.htm
Love in Paradise,https://www.allmusicals.com/lyrics/epicthemusical/loveinparadise.htm
God Games,https://www.allmusicals.com/lyrics/epicthemusical/godgames.htm
Not Sorry For Loving You,https://www.allmusicals.com/lyrics/epicthemusical/notsorryforlovingyou.htm
Dangerous,https://www.allmusicals.com/lyrics/epicthemusical/dangerous.htm
Charybdis,https://www.allmusicals.com/lyrics/epicthemusical/charybdis.htm
Get in the Water,https://www.allmusicals.com/lyrics/epicthemusical/getinthewater.htm
600 Strike,https://www.allmusicals.com/lyrics/epicthemusical/600strike.htm
The Challenge,https://www.allmusicals.com/lyrics/epicthemusical/thechallenge.htm
Hold Them Down,https://www.allmusicals.com/lyrics/epicthemusical/holdthemdown.htm
Odysseus,https://www.allmusicals.com/lyrics/epicthemusical/odysseus.htm
I Can't Help But Wonder,https://www.allmusicals.com/lyrics/epicthemusical/icanthelpbutwonder.htm
Would You Fall In Love With Me Again,https://www.allmusicals.com/lyrics/epicthemusical/wouldyoufallinlovewithmeagain.htm
