saga,song,character,lyrics
The Circe Saga,Done For,ODYSSEUS,"Lady of the palace, sorry that I ask this

But I hope that I've been misinformed

I sent out some scouts to take a look around through

Here and they wound up at your door

Through the years we seldom

Get a warm welcome, so

I must ask just to be sure

Did you do something to them?"
The Circe Saga,Done For,CIRCE,"Who, me?

All I did was reveal their true forms"
The Circe Saga,Done For,ODYSSEUS,You turned them into pigs
The Circe Saga,Done For,CIRCE,"Huh

I don't know who you are nor why you're here

But let me make this one thing clear

I've got people to protect

Nymphs I can't n?glect

So I'm not taking chances, dear

If you mak? one wrong move, then you're done for

Anything I don't approve, then you're done for

I could put a spell on you and you're done for

Boy, you better run or soon you will done for"
The Circe Saga,Done For,ODYSSEUS,"I don't mean to tip your scale but

You will fail at

Placing any spells on me

I just ate a flower

One that claims your power

So you better cower now and flee"
The Circe Saga,Done For,CIRCE,"You must be a liar

Mortals can't acquire

Moly without dire consequence"
The Circe Saga,Done For,ODYSSEUS,"Then I must be a god like you

Cause I got this root from the ground with my bare hands"
The Circe Saga,Done For,CIRCE,"Hermes gave it to you, didn't he?"
The Circe Saga,Done For,ODYSSEUS,"Okay, fine, yes, but regardless"
The Circe Saga,Done For,ODYSSEUS,"You and I are now evenly matched

Our fates are intertwined, they're attached"
The Circe Saga,Done For,"ODYSSEUS, CIRCE","I've got people to protect, friends I can't neglect

So now there is no turning back

You've made your one wrong move, now you're done for

I will be the one to prove that you're done for

Not even a spell saves you, cause you're done for

Oh, you better run or soon you will be done for"
The Circe Saga,Done For,ODYSSEUS,You've lost
The Circe Saga,Done For,CIRCE,"My nymphs are like my daughters

I protect them at all costs

The last time we let strangers live

We faced a heavy loss

You've given me no reason to

Bestow you with my trust

But everyone's true colours are

Revealed in acts of lust"
The Circe Saga,Done For,ODYSSEUS,I'm not sure I follow
The Circe Saga,Puppeteer,EURYLOCHUS,"Captain, I have something that I must confess

Something that I must get off my chest

Until it is said, I cannot rest

Captain?"
The Circe Saga,Puppeteer,ODYSSEUS,"Eurylochus, go make sure this island is secure"
The Circe Saga,Puppeteer,EURYLOCHUS,But captai
The Circe Saga,Puppeteer,ODYSSEUS,"There's only so much left we can endure

Whatever you need to say can wait some more

Of that, I'm sure"
The Circe Saga,Puppeteer,EURYLOCHUS,Okay
The Circe Saga,Puppeteer,EURYLOCHUS,"Sir, since we left home we've faced a variety of foes from a wide range of places

Gods, monsters, you know the roster, hostile creatures that we could resist

But this was a h?ll of a twist, cause we are w?ak to a power like this"
The Circe Saga,Puppeteer,ODYSSEUS,What was it?
The Circe Saga,Puppeteer,EURYLOCHUS,A woman
The Circe Saga,Puppeteer,ODYSSEUS,What?
The Circe Saga,Puppeteer,EURYLOCHUS,She had us in just two words
The Circe Saga,Puppeteer,CIRCE,Come inside
The Circe Saga,Puppeteer,ODYSSEUS,Damn
The Circe Saga,Puppeteer,CIRCE,"Welcome to the best part of your lives

Go ahead and rest wherever you like

I got you, don't worry Circe's got you now"
The Circe Saga,Puppeteer,EURYLOCHUS,"Only I stayed outside, but the rest went in"
The Circe Saga,Puppeteer,CIRCE,"Take a seat

Let me bring you all something to eat

I bet you're tired from the years spent on your feet

I got you, don't worry Circe's got you now"
The Circe Saga,Puppeteer,EURYLOCHUS,"By the time they ate, it was far too late"
The Circe Saga,Puppeteer,"EURYLOCHUS, CIRCE","For inside the meal, think of your past

She had cast a spell, and your mistakes

They began to squeal, they'll be the last

And grow snouts and tails, mistakes you'll make

She changed them"
The Circe Saga,Puppeteer,CIRCE,"I got all the power, yeah, I got all the power

No, I'm not a player, I'm a puppeteer

No, I don't play, I puppeteer, yeah"
The Circe Saga,Puppeteer,"EURYLOCHUS, CIRCE","They transformed, this is the price

And it wasn't quick, we pay to live

She turned our men, the world does not

From men to pigs, tend to forgive

She changed them"
The Circe Saga,Puppeteer,CIRCE,"I got all the power, yeah, I got all the power

No, I'm not a player, I'm a puppeteer

No, I don't play, I puppeteer, yeah"
The Circe Saga,Puppeteer,ODYSSEUS,We have to go save them
The Circe Saga,Puppeteer,EURYLOCHUS,"No we don't

Look at all we've lost and all we've learned

Every single cost is so much more than what we've earned

Think about the men we have left before there's none

Let's just cut our losses, you and I, and let's run"
The Circe Saga,Puppeteer,ODYSSEUS,"Of course I'd like to leave now, of course I'd like to run

But I can hardly sleep now knowing everything we've done

There's no length I wouldn't go if it was you I had to save

I can only hope you'd do the same"
The Circe Saga,There Are Other Ways,CIRCE,"There are other ways of persuasion

There are other modes of control

There are other means of deceit

There are other roads to the soul

There are other actions of passion

You have so much left to learn

Want to save your men from the fire?

Show me that you're willing to burn, woah"
The Circe Saga,There Are Other Ways,"ODYSSEUS, CIRCE","Who's to say, with the mistakes I've made, Don't be afraid

That they will be th? last Think of your past

Mistakes I ever mak?? Don't break when"
The Circe Saga,There Are Other Ways,"CIRCE, ODYSSEUS, BOTH","There is so much power, so much power

But there's no puppet here, here"
